Zone_ID,Complaint_Count,Open_Complaints,Resolved_Complaints,Raw_Unresolved_Ratio,Normalized_U,Raw_Density,Normalized_D,Model_Prediction_Raw,Model_Prediction_Normalized,Softmax_wU,Softmax_wD,Softmax_wP,Contribution_U,Contribution_D,Contribution_P,Risk_Raw,Risk_Final,Risk_Level,Contribution_U_Pct,Contribution_D_Pct,Contribution_P_Pct,Dominant_Factor
0,0,0,0,0.0,0.0,0.0,0.0,0.156753808259964,0.3410607576370239,0.29689308361137495,0.29689308361137495,0.40621383277725015,0.0,0.0,0.06367556525571015,0.06367556525571015,0.06367556525571015,Low,0.0,0.0,99.9999842953912,P
1,0,0,0,0.0,0.0,0.0,0.0,0.14753125607967377,0.10980915278196335,0.29911369712773944,0.29911369712773944,0.40177260574452117,0.0,0.0,0.05927401718389276,0.05927401718389276,0.05927401718389276,Low,0.0,0.0,99.99998312920435,P
2,0,0,0,0.0,0.0,0.0,0.0,0.16026172041893005,0.4290201663970947,0.2960464069942974,0.2960464069942974,0.4079071860114052,0.0,0.0,0.06537190740143231,0.06537190740143231,0.06537190740143231,Low,0.0,0.0,99.99998470291159,P
3,1,1,0,0.5,1.0,1.0,1.0,0.17757722735404968,0.8631991744041443,0.34902114626351627,0.34902114626351627,0.30195770747296746,0.34902114626351627,0.34902114626351627,0.05362081247123477,0.7516631049982673,0.7516631049982673,High,46.433187860271794,46.433187860271794,7.133622949073186,U
4,0,0,0,0.0,0.0,0.0,0.0,0.1794196367263794,0.9093968272209167,0.2914035931649962,0.2914035931649962,0.4171928136700075,0.0,0.0,0.07485258307352884,0.07485258307352884,0.07485258307352884,Low,0.0,0.0,99.99998664040939,P
5,0,0,0,0.0,0.0,0.0,0.0,0.1648285835981369,0.5435323119163513,0.29494250228499796,0.29494250228499796,0.41011499543000407,0.0,0.0,0.06759867380908396,0.06759867380908396,0.06759867380908396,Low,0.0,0.0,99.99998520681257,P
6,0,0,0,0.0,0.0,0.0,0.0,0.14315195381641388,0.0,0.3001653569631871,0.3001653569631871,0.39966928607362595,0.0,0.0,0.05721343918185081,0.05721343918185081,0.05721343918185081,Low,0.0,0.0,99.99998252159213,P
7,0,0,0,0.0,0.0,0.0,0.0,0.14537413418293,0.05572023242712021,0.2996319439254656,0.2996319439254656,0.40073611214906874,0.0,0.0,0.0582566653395044,0.0582566653395044,0.0582566653395044,Low,0.0,0.0,99.99998283458514,P
8,0,0,0,0.0,0.0,0.0,0.0,0.17664992809295654,0.839947521686554,0.2920767178619261,0.2920767178619261,0.41584656427614786,0.0,0.0,0.07345926567708455,0.07345926567708455,0.07345926567708455,Low,0.0,0.0,99.99998638701526,P
9,0,0,0,0.0,0.0,0.0,0.0,0.15221281349658966,0.22719721496105194,0.29798745074961314,0.29798745074961314,0.40402509850077367,0.0,0.0,0.06149779696603953,0.06149779696603953,0.06149779696603953,Low,0.0,0.0,99.99998373925754,P
10,0,0,0,0.0,0.0,0.0,0.0,0.18303297460079193,0.9999997019767761,0.2905245132291846,0.2905245132291846,0.41895097354163074,0.0,0.0,0.07668184289922235,0.07668184289922235,0.07668184289922235,Low,0.0,0.0,99.9999869591049,P
11,0,0,0,0.0,0.0,0.0,0.0,0.15180860459804535,0.2170618623495102,0.29808477217637536,0.29808477217637536,0.40383045564724934,0.0,0.0,0.06130493796600176,0.06130493796600176,0.06130493796600176,Low,0.0,0.0,99.99998368810294,P
12,0,0,0,0.0,0.0,0.0,0.0,0.15370456874370575,0.2646023631095886,0.29762815015011757,0.29762815015011757,0.4047436996997649,0.0,0.0,0.06221095581408431,0.06221095581408431,0.06221095581408431,Low,0.0,0.0,99.99998392566347,P
13,0,0,0,0.0,0.0,0.0,0.0,0.16261380910873413,0.48799780011177063,0.29547808792954333,0.29547808792954333,0.4090438241409134,0.0,0.0,0.0665161743359571,0.0665161743359571,0.0665161743359571,Low,0.0,0.0,99.99998496606489,P
14,0,0,0,0.0,0.0,0.0,0.0,0.15918618440628052,0.40205153822898865,0.2963061177352302,0.2963061177352302,0.4073877645295396,0.0,0.0,0.06485050380926168,0.06485050380926168,0.06485050380926168,Low,0.0,0.0,99.99998457992172,P
15,0,0,0,0.0,0.0,0.0,0.0,0.16489970684051514,0.545315682888031,0.2949252958814455,0.2949252958814455,0.410149408237109,0.0,0.0,0.06763351717911004,0.06763351717911004,0.06763351717911004,Low,0.0,0.0,99.9999852144337,P
16,0,0,0,0.0,0.0,0.0,0.0,0.1475803107023239,0.1110391765832901,0.29910190666792286,0.29910190666792286,0.40179618666415423,0.0,0.0,0.05929720606690482,0.05929720606690482,0.05929720606690482,Low,0.0,0.0,99.99998313580187,P
17,0,0,0,0.0,0.0,0.0,0.0,0.1711631566286087,0.7023690342903137,0.293408311468194,0.293408311468194,0.41318337706361197,0.0,0.0,0.0707217710846765,0.0707217710846765,0.0707217710846765,Low,0.0,0.0,99.99998586008462,P
18,0,0,0,0.0,0.0,0.0,0.0,0.14362145960330963,0.011772658675909042,0.3000526960744073,0.3000526960744073,0.3998946078511854,0.0,0.0,0.05743344726708037,0.05743344726708037,0.05743344726708037,Low,0.0,0.0,99.99998258854599,P
19,0,0,0,0.0,0.0,0.0,0.0,0.15602892637252808,0.3228846490383148,0.29706790433378405,0.29706790433378405,0.4058641913324318,0.0,0.0,0.06332655402665364,0.06332655402665364,0.06332655402665364,Low,0.0,0.0,99.9999842088385,P
