Zone_ID,hist_avg_complaint_count,hist_var_complaint_count,hist_avg_unresolved_ratio,hist_resolution_rate,hist_avg_msi,hist_var_msi,hist_complaint_density,hist_avg_neighbor_pressure,hist_var_neighbor_pressure,hist_avg_growth_rate,hist_var_growth_rate
0,8.746064339493497,11.849907476858858,0.6048734715517429,0.27621366270607217,0.3381241645756983,0.00545144813934766,0.24294623165259713,9.737964864248232,7.08909870590495,0.18903562110483424,0.7585388527352867
1,9.32340862422998,12.36404616573149,0.5886444181771501,0.30061247866864516,0.3406906292294137,0.0053318998342872514,0.25898357289527724,10.101756787588409,7.386956477477872,0.15898882654332191,0.5470425734278608
2,11.700889801505818,17.22032786255262,0.6203142270929006,0.2909201775458476,0.38324870295704727,0.005273267534153015,0.325024716708495,11.600136892539359,7.555960268826795,0.12282593202184852,0.37915025464327123
3,8.618412046543463,11.470568104038422,0.6088819549350097,0.2709687822694926,0.3404305980027361,0.005742885660145166,0.23940033462620733,10.11327857631759,7.61343311351319,0.17237516551757243,0.6044273276231994
4,8.508898015058179,10.717654451081298,0.5855982014118326,0.29312751245486895,0.33709153244803935,0.005489308433266789,0.23635827819606053,10.8387234770705,7.4818763911569475,0.1930018596108608,0.7921855905947353
5,11.286105407255304,16.19404857224732,0.6197208789898165,0.28814966345753457,0.369201612607622,0.005362673258605548,0.313502927979314,10.108031028975589,7.348399857228549,0.12675688602227,0.3978261603850014
6,10.91409993155373,16.00665494105447,0.6074564756834024,0.29747844554590525,0.36993275799094033,0.0055263195878368174,0.3031694425431592,11.33989276751084,6.852661512328511,0.1310379814466345,0.4057645961899135
7,12.040041067761807,17.937800477600863,0.609285916823766,0.30408340082099405,0.3852262409495256,0.0054683898835965646,0.33444558521560575,11.924709103353868,8.621383431269175,0.1226873861882522,0.3794831291938275
8,15.488021902806297,23.303006082368565,0.6345652540617741,0.29894965889969466,0.4212544428734745,0.00556125992916035,0.43022283063350825,11.167465206479582,8.993741992113184,0.08634175288917326,0.2223593414350081
9,12.417180013689254,19.238088861113532,0.6081302839752645,0.30801724623706134,0.3864695390008359,0.005654738189612267,0.34492166704692373,11.626796714579056,8.30662335407342,0.11515191084943376,0.3484244793068934
10,10.00479123887748,14.180052352843237,0.6064341848807304,0.2903233243658845,0.358542252156994,0.005332108873673867,0.2779108677465967,10.988877481177276,7.557134035651621,0.13904345290722386,0.4039778772000293
11,10.05441478439425,14.31713387513911,0.6009462697127372,0.29570876089147163,0.3527761719376577,0.005277168717349939,0.27928929956650694,10.274241387177733,7.615282860347431,0.1565068242695831,0.5758973592445391
12,10.887405886379192,15.817171015617479,0.6082881798823819,0.296342801091039,0.370175642546286,0.005376496811838133,0.30242794128831085,11.372461784166097,8.48205473103174,0.13320437551286082,0.41566450777112257
13,10.30766598220397,15.084015159876216,0.6066103411375192,0.29238275525134166,0.36129975830765826,0.005347712658084633,0.2863240550612214,10.952292950034224,7.023139211651732,0.13901206329735488,0.5100072064262954
14,5.241615331964408,6.474981025550502,0.5380900019632052,0.2641803130894506,0.2958166142088002,0.0069514693369774365,0.14560042588790023,11.401665525895506,9.005675645706004,0.33717262682113514,1.5401247944682162
15,9.903832991101986,14.09995791526842,0.5907675881155172,0.3042323607418382,0.3433341343454345,0.005280887157303523,0.27510647197505517,9.56125941136208,6.745703947974247,0.1513413195554876,0.5210218449145698
16,10.287816563997263,14.18313805877394,0.5992226339929522,0.3002030473420796,0.3500458738739437,0.0051887364500416274,0.2857726823332573,9.642505133470227,5.6889698262318,0.13294819133923066,0.39715758250621835
17,10.549965776865161,14.531052720499062,0.5897005664493048,0.3117209743989991,0.3603973292327637,0.00530983873854335,0.2930546049129211,11.260209901893681,8.929604916175597,0.14060100080745824,0.5214065523421969
18,15.408281998631075,25.248859834177942,0.6202155767132504,0.31217600133015516,0.40697212057632165,0.005785445834256474,0.42800783329530767,9.800536162445812,5.551084576823367,0.09047949630790665,0.2442304901546066
19,7.715263518138261,9.890824802153652,0.5743131389626733,0.29139192585757784,0.32062151903639574,0.0057125670318403125,0.2143128755038406,10.038215833903719,7.400532279163381,0.20065938156640856,0.7934135935864075
