Model,Hotspot_Precision,Hotspot_Recall,Hotspot_F1,Average_Hotspot_MAE
Model A: Production GNN+LSTM,35.204081632653065,3.9541547277936964,7.109737248840803,0.33144464372533516
Model B: Historical Baseline + Residual,61.30718954248366,26.876790830945556,37.37051792828685,0.2833612871868794
Model C: Rolling Baseline + Residual,68.0952380952381,16.389684813753583,26.420323325635106,0.28517957426913937
