Model,Delta_MAE,Delta_RMSE,Delta_R2,Delta_Pearson,Delta_Spearman,Delta_Kendall,Abs_MAE,Abs_RMSE,Abs_R2,Abs_Pearson,Abs_Spearman,Abs_Kendall,Var_Ratio_Delta,Var_Ratio_Abs,Rank_Pearson,Rank_Spearman,Hotspot_Detection_Pct,Hotspot_MAE_3,Hotspot_MAE_7,Hotspot_MAE_15,Hotspot_MAE_Avg,Train_Time_s,Inf_Time_ms,Param_Count,Memory_MB
Persistence,0.8219447773709585,1.0794690092767754,-2.2314446039188143,-0.6129834950355746,-0.5879454461768407,-0.41949140426185005,0.8219447773709585,1.0794690092767754,-5.55103743858728,-0.10709610986287048,-0.07831113906936722,-0.052732307891154184,1.0033950596029562,5.068798736812764,-0.3045595203245306,-0.26766917293233083,66.66666666666666,0.2625822393508783,0.9665825653995931,1.4363476791800815,0.8885041613101844,0.0,4.535198211669922,0,0.0001220703125
Linear Regression,0.299554388113605,0.3910598252477855,0.575905381230228,0.7589053010669615,0.7608507080011493,0.5646576235696067,0.299554388113605,0.3910598252477855,0.14024219332278065,0.42424488103330993,0.42956313446849925,0.29799453046499746,0.5674377172909273,0.3888722340843021,0.5165206757136767,0.6225563909774435,0.0,0.19346901764789143,0.033553073992285354,0.5653469228844288,0.2641230048415352,0.25960397720336914,3.9780139923095703,109,68.01760387420654
Random Forest,0.28462858648002576,0.3658075390191114,0.6289079405183411,0.7932599567227828,0.7539410476505713,0.5647394067711393,0.28462858648002576,0.3658075390191114,0.24769313022458916,0.49998181741308434,0.4913369473373712,0.3403224538843052,0.603110201865586,0.29831853388641744,0.6506239506567919,0.6887218045112782,0.0,0.13902310039458177,0.053377633017224535,0.3025137703630359,0.16497150125828072,1.4456071853637695,21.236419677734375,4974,29.599451065063477
Gradient Boosting (XGB Fallback),0.30479137531575834,0.39418462851081354,0.5691007606365663,0.7834172600298278,0.7429629553801389,0.5548281473008009,0.30479137531575834,0.3941846285108135,0.12644733383164164,0.3670546897710266,0.3748179064792161,0.25515077525674423,0.3274344645813705,0.2094389871725563,0.4558678657621124,0.4526315789473684,33.33333333333333,0.19274179846436096,0.08902075204773946,0.13543191548097339,0.13906482199769127,9.65221881866455,15.878438949584961,0,18.75178337097168
LSTM-only,0.27247593583975505,0.3509141257536077,0.6585099457485526,0.8126582438867653,0.7792131161187325,0.5895542950878522,0.27247593583975505,0.3509141257536077,0.3077046322893928,0.5573001987106503,0.5452165731100157,0.3822553486390896,0.6113912088797432,0.27741807474193225,0.7569008828041709,0.7518796992481201,0.0,0.10269580771842518,0.07624478160336934,0.19372394324346803,0.12422151085508752,192.65620636940002,499.18103218078613,59585,0.22729873657226562
GNN-only,0.43251547131940526,0.5673761867709005,0.1072732128049716,0.3562948317905451,0.3435452791202947,0.23425015551845263,0.4325154713194052,0.5673761867709005,-0.809805620140317,0.05846452782200237,0.09360550769384797,0.06467164095573813,0.07645230580975587,0.8933495124656051,-0.01190817811793421,0.0,66.66666666666666,0.11928600808301487,0.3873165500064226,0.3455055689711926,0.28403604235354335,42.14550566673279,137.91942596435547,3521,0.036525726318359375
Production Model,0.3116154629620036,0.40517292208018724,0.5447424203404101,0.7537149282834639,0.720815219456557,0.533238292143018,0.3116154629620036,0.40517292208018724,0.07706619976285567,0.3055300934389526,0.32836646524683266,0.22412864904928095,0.366488872926456,0.17807549227964076,0.41934426547096076,0.4270676691729323,0.0,0.13202160587230244,0.06979374109700642,0.055942621241057144,0.08591932273678866,234.96819972991943,1020.5121040344238,62115,0.23694992065429688
