Formulation,MAE,RMSE,R2,Pearson
A: Global Historical Mean,0.3287001940622223,0.42193770530826874,-0.0008901090854807059,
B: Zone Historical Mean,0.3108350081873924,0.4000347084901756,0.10032620239364443,0.3181589572826453
C: Rolling 30-Day Baseline,0.2984730423371306,0.3905145993413565,0.14263791601731146,0.3847621941916216
D: EMA Baseline (alpha=0.1),0.3001232978498613,0.3931350756675743,0.13109296957317274,0.37400991193658706
